gene,G0_G1_transition,G1S_transition,DNA_replication_S_phase,G2M_transition,metaphase_anaphase_transition,checkpoint_spindle_assembly_checkpoint,all_checkpoint,general_cell_cycle_regulation,general_mitotic_cell_cycle_regulation,general_phase_transition
CALR,False,False,False,False,False,False,False,True,False,False
CAMK2A,False,True,False,False,False,False,False,False,False,True
CAV2,False,False,False,False,False,False,False,True,True,False
CCDC57,False,False,False,True,False,False,False,True,True,True
CCDC66,False,False,False,False,False,False,False,True,False,False
CCDC8,False,False,False,False,False,False,False,True,True,False
CCL2,False,True,False,False,False,False,False,False,False,True
CCNA1,False,True,False,False,False,False,False,False,False,True
CCNA2,False,True,False,True,False,False,False,False,False,True
CCNB1,False,True,False,True,False,True,True,True,True,True
CCNB2,False,True,False,False,False,False,False,False,False,True
CCNB3,False,True,False,False,False,False,False,False,False,True
CCND1,False,True,False,True,False,False,False,False,False,True
CCND2,False,True,False,False,False,False,False,False,False,True
CCND3,False,True,False,False,False,False,False,False,False,True
CCNE1,False,True,False,False,False,False,False,False,False,True
CCNE2,False,True,False,False,False,False,False,False,False,True
CCNF,False,True,False,False,False,False,False,True,False,True
CCNG1,False,True,False,False,False,False,False,False,False,True
CCNG2,False,True,False,False,False,False,False,False,False,True
CCNH,False,True,False,False,False,False,False,False,False,True
CCNI,False,True,False,False,False,False,False,False,False,True
CCNI2,False,True,False,False,False,False,False,False,False,True
CCNJ,False,True,False,False,False,False,False,False,False,True
CCNJL,False,True,False,False,False,False,False,False,False,True
CCNL1,False,False,False,False,False,False,False,True,False,False
CCNL2,False,False,False,False,False,False,False,True,False,False
CCNO,False,True,False,False,False,False,False,False,False,True
CCNP,False,True,False,False,False,False,False,False,False,True
CCNQ,False,False,False,True,False,False,False,False,False,True
CCNY,False,False,False,True,False,False,False,True,False,True
CCP110,False,False,False,False,False,False,False,True,False,False
CCPG1,False,False,False,False,False,False,False,True,False,False
CD28,False,False,False,False,False,False,False,True,False,False
CDC14A,False,False,False,False,False,False,False,True,False,True
CDC14C,False,False,False,False,False,False,False,True,False,True
CDC16,False,False,False,False,True,False,False,True,True,True
CDC20,False,False,False,False,True,False,False,True,True,True
CDC23,False,False,False,False,True,False,False,True,True,True
CDC25A,False,True,False,True,False,False,False,False,False,True
CDC25B,False,False,False,True,False,False,False,True,True,True
CDC25C,False,False,False,True,False,False,False,True,True,True
CDC26,False,False,False,False,False,False,False,True,True,False
CDC27,False,False,False,False,True,False,False,True,True,True
CDC34,False,True,False,False,False,False,False,False,False,True
CDC42,False,False,False,False,False,False,False,True,False,False
CDC6,False,True,False,True,True,False,True,True,False,True
CDC7,False,True,True,True,False,False,False,True,False,True
CDC73,False,True,False,False,False,False,False,False,False,True
CDCA2,False,False,False,False,False,False,False,True,True,False
CDCA5,False,False,False,False,False,False,False,False,False,True
CDCA8,False,False,False,False,False,True,True,True,False,False
CDK1,False,True,False,True,False,False,True,False,False,True
CDK10,False,True,False,True,False,False,False,True,False,True
CDK11A,False,False,False,False,False,False,False,True,False,False
CDK11B,False,False,False,False,False,False,False,True,False,False
CDK14,False,False,False,True,False,False,False,True,False,True
CDK15,False,False,False,False,False,False,False,True,False,True
CDK16,False,False,False,False,False,False,False,True,False,True
CDK17,False,False,False,False,False,False,False,True,False,True
CDK18,False,False,False,False,False,False,False,True,False,True
CDK2,False,True,False,True,False,False,True,True,True,True
CDK2AP2,False,True,False,False,False,False,False,False,False,True
CDK3,False,True,False,True,False,False,False,False,False,True
CDK4,False,True,False,True,False,False,False,True,False,True
CDK5,False,False,False,False,False,False,False,True,False,True
CDK5RAP1,False,False,False,False,False,False,False,True,False,False
CDK5RAP2,False,False,False,False,False,True,True,False,False,False
CDK5RAP3,False,False,False,True,False,True,True,True,True,False
CDK6,False,True,False,True,False,False,False,True,False,True
CDK7,False,True,False,False,False,False,False,True,False,True
CDK9,False,False,False,False,False,False,False,True,True,False
CDKN1B,False,True,False,False,False,False,False,True,True,True
CDKN1C,False,False,False,False,False,False,False,True,True,False
CDKN2A,False,True,False,False,False,False,False,True,False,True
CDKN2B,True,True,False,False,False,False,False,True,False,True
CDKN2C,False,True,False,False,False,False,False,False,False,True
CDKN2D,False,True,False,False,False,False,False,False,False,True
CDKN3,False,True,False,False,False,False,False,True,False,True
CDPF1,False,True,False,True,False,False,True,True,False,True
CDT1,False,False,False,False,False,False,False,True,False,False
CEBPA,False,False,False,False,False,False,False,True,False,False
CENPE,False,False,False,False,True,False,False,False,False,True
CENPF,False,False,False,True,False,False,False,False,False,True
CENPV,False,False,False,False,False,False,False,True,False,False
CEP120,False,False,False,False,False,False,False,True,False,False
CEP250,False,False,False,False,False,False,False,True,False,False
CEP295,False,False,False,False,False,False,False,True,False,False
CEP85,False,False,False,False,False,False,False,True,False,False
CETN2,False,False,False,False,False,False,False,True,False,False
CFH,False,True,False,True,False,False,False,False,False,True
CHEK1,True,False,False,True,False,True,True,True,True,False
CHEK2,False,False,False,True,False,False,False,False,False,True
CHFR,False,False,False,True,False,True,True,False,False,False
CHMP2A,False,False,False,False,False,False,False,True,False,True
CHMP4B,False,False,False,False,False,False,False,False,False,True
CHMP4C,False,False,False,True,False,True,True,True,False,False
CHMP7,False,False,False,False,False,False,False,False,False,True
CITED2,False,False,False,False,False,False,False,True,False,False
CKS1B,False,False,False,False,False,False,False,True,True,False
CKS2,False,False,False,False,False,False,False,True,True,False
CLASP1,False,False,False,False,False,False,False,False,False,True
CLASP2,False,False,False,False,False,False,False,False,False,True
CLSPN,False,False,False,True,False,False,True,False,False,False
CNTD1,False,False,False,False,False,False,False,True,False,False
COPS5,False,False,False,False,False,False,False,True,False,False
CPAP,False,True,False,False,False,False,False,True,False,True
CPSF3,False,True,False,False,False,False,False,False,False,True
CREB3L4,False,False,False,False,False,False,False,True,False,False
CRLF3,False,True,False,False,False,False,False,False,False,True
CRNN,False,True,False,False,False,False,False,False,False,True
CRY1,False,False,False,False,False,True,True,False,False,False
CSNK2A2,False,False,False,False,False,False,False,True,False,False
CSNK2A3,False,False,False,False,False,False,False,True,False,False
CSPP1,False,False,False,False,False,False,False,True,False,False
CTBP1,False,False,False,False,False,False,False,True,False,False
CTDP1,False,False,False,False,False,False,False,False,False,True
CTNNB1,False,False,False,False,False,False,False,True,True,False
CUL1,False,True,False,False,False,False,False,False,False,True
CUL2,False,True,False,False,False,False,False,False,False,True
CUL3,False,True,False,False,True,False,False,True,True,True
CUL4A,False,True,False,False,False,False,False,False,False,True
CUL4B,False,True,False,False,False,False,False,False,False,True
CUL5,False,True,False,False,False,False,False,False,False,True
CUL7,False,False,False,False,False,False,False,True,True,False
CUL9,False,False,False,False,False,False,False,True,True,False
CXCR5,False,False,False,False,False,False,False,True,False,False
CYLD,False,False,False,False,False,False,False,True,True,False
DAB2IP,True,False,False,False,False,False,False,True,False,False
DACT1,False,True,False,False,False,False,False,False,False,True
DAPK3,False,False,False,False,False,False,False,True,True,False
DBF4,False,True,True,False,False,False,False,True,False,True
DBF4B,False,False,True,True,False,False,False,True,False,True
DCUN1D3,False,True,False,False,False,False,False,True,False,True
DDB1,False,False,False,False,False,False,False,False,True,True
DDRGK1,False,True,False,False,False,False,False,False,False,True
DDX11,False,False,False,False,False,False,False,True,False,False
DDX3X,False,True,False,False,False,False,False,False,False,True
DGKZ,False,True,False,False,False,False,True,False,False,False
DHDDS,False,False,False,False,False,False,False,True,False,False
DLG1,False,True,False,False,False,False,False,False,False,True
DLGAP5,False,False,False,False,True,False,False,True,True,True
DMAP1,False,False,False,False,False,False,False,True,False,False
DMRT1,False,False,False,False,False,False,False,True,False,False
DNM2,False,False,False,True,False,False,False,False,False,True
DONSON,False,False,False,True,False,False,True,False,False,False
DPF1,True,True,False,False,True,False,False,True,False,True
DPF2,True,True,False,False,True,False,False,True,False,True
DPF3,True,True,False,False,True,False,False,True,False,True
DR1,False,False,False,False,False,False,False,True,False,False
DRD2,False,False,False,False,False,False,False,True,False,False
DRD3,False,False,False,False,False,False,False,True,False,False
DTL,False,False,False,True,False,False,True,True,False,True
DUSP12,False,False,False,False,False,True,True,True,False,False
DUSP3,False,False,False,False,False,False,False,True,True,False
DUX4,True,False,False,False,False,False,False,True,False,False
DYNC1H1,False,False,False,False,False,False,False,True,False,False
DYNC1LI1,False,False,False,False,False,True,True,True,False,False
DYNLT3,False,False,False,False,False,False,False,True,True,False
DYRK3,False,False,False,True,False,False,False,False,False,True
E2F1,False,True,False,False,False,False,False,False,False,True
E2F3,False,True,False,False,False,False,False,False,False,True
E2F7,False,True,False,False,False,False,False,True,False,True
E2F8,False,False,False,False,False,False,False,True,False,False
E4F1,False,False,False,False,False,False,False,True,False,False
ECT2,False,False,False,False,False,False,False,True,False,False
EDN1,False,False,False,False,False,False,False,True,False,False
EDN3,False,False,False,False,False,False,False,True,False,False
EGF,False,False,False,False,False,False,False,True,False,False
EGFR,False,True,False,False,False,False,False,False,False,True
EIF4E,False,True,False,False,False,False,False,True,True,True
EIF4EBP1,False,True,False,False,False,False,False,True,True,True
EIF4G1,False,True,False,False,False,False,False,False,False,True
EIF4G2,False,False,False,False,False,False,False,True,False,False
ENSA,False,False,False,True,False,False,False,False,False,True
ENTR1,False,False,False,False,False,False,False,True,False,False
EP400,False,False,False,False,False,False,False,True,False,False
EPC1,False,False,False,False,False,False,False,True,False,False
EPC2,False,False,False,False,False,False,False,True,False,False
EPGN,False,False,False,False,False,False,False,True,False,False
EPS8,False,False,False,False,False,False,False,False,False,True
ERCC2,False,False,False,False,False,False,False,False,True,True
ERCC3,False,False,False,False,False,False,False,False,True,True
EREG,False,False,False,False,False,False,False,True,False,False
ESPL1,False,False,False,False,True,False,False,True,False,True
ESX1,False,False,False,False,False,False,False,True,False,False
ETAA1,False,False,False,True,False,True,True,False,False,False
ETS1,False,False,False,False,False,False,False,True,False,False
EVI2B,False,False,False,False,False,False,False,True,False,False
EZH2,False,True,False,False,False,False,False,False,False,True
FAM107A,False,True,False,False,False,False,False,False,False,True
FAM83D,False,True,False,False,False,False,False,False,False,True
FBXL15,False,False,False,True,False,False,False,False,False,True
FBXL7,False,False,False,True,False,False,False,False,False,True
FBXO31,False,True,False,False,False,False,True,False,False,False
FBXO43,False,False,False,False,False,False,False,True,True,False
FBXO5,False,False,False,True,False,False,False,True,True,True
FBXW7,False,True,False,False,False,False,False,False,False,True
FEM1B,False,False,False,False,False,True,True,False,False,False
FEN1,False,False,False,False,False,False,False,True,False,False
FGF10,False,True,False,False,False,False,False,False,False,True
FGFR2,False,False,False,False,False,False,False,True,False,False
FIGNL1,False,False,False,False,False,False,False,True,False,False
FOXA1,False,False,False,False,False,False,False,True,True,False
FOXC1,False,False,False,False,False,False,False,True,True,False
FOXE3,False,False,False,False,False,False,False,True,False,False
FOXM1,False,False,False,True,False,False,False,True,False,True
FOXN3,False,False,False,True,False,False,True,False,False,False
FOXO4,True,False,False,False,False,False,False,True,False,False
FSD1,False,False,False,False,False,False,False,True,False,False
FZD9,False,False,False,False,False,False,False,True,True,False
FZR1,False,False,False,True,False,False,True,True,True,False
GADD45A,False,False,False,False,False,False,False,True,False,False
GADD45B,False,False,False,False,False,False,False,True,False,False
GADD45G,False,False,False,False,False,False,False,True,False,False
GAS1,False,False,False,False,False,False,False,True,True,False
GATA3,False,False,False,False,False,False,False,True,False,False
GATD3,False,False,False,False,False,False,False,False,True,False
GEN1,False,False,False,False,False,True,True,True,False,False
GFI1B,False,True,False,False,False,False,False,False,False,True
GIPC1,False,False,False,False,False,False,False,True,False,False
GIT1,False,False,False,False,False,False,False,True,False,False
GLI1,False,True,False,False,False,False,False,False,False,True
GLMN,False,False,False,False,False,False,False,True,False,False
GMNC,False,False,False,False,False,False,False,True,False,False
GMNN,False,False,False,False,False,False,False,True,True,False
GPER1,False,False,False,False,False,False,False,True,False,False
GPNMB,False,True,False,False,False,False,False,False,False,True
GPR132,False,True,False,True,False,False,False,False,False,True
GPR15LG,False,True,False,False,False,False,False,False,False,True
GPSM2,False,False,False,False,False,False,False,True,False,False
GRK5,False,False,False,False,False,False,False,True,False,False
GSPT1,False,True,False,False,False,False,False,False,False,True
HBP1,False,False,False,False,False,False,False,True,False,False
HCFC1,False,False,False,False,False,False,False,True,False,False
HECA,False,False,False,False,False,False,False,True,True,False
HECW2,False,False,False,False,True,False,False,False,False,True
HEXIM2,False,False,False,False,False,False,False,True,False,False
HHEX,False,False,False,False,False,False,False,True,False,False
HINFP,False,True,False,False,False,False,False,False,False,True
HIPK2,False,False,False,False,False,False,False,True,False,False
HLA-G,True,False,False,False,False,False,False,True,False,False
HMGA2,False,False,False,False,False,False,False,True,False,False
HNRNPU,False,False,False,False,False,False,False,True,True,False
HOXC9,False,False,False,False,False,False,False,True,False,False
HOXD10,False,False,False,False,False,False,False,True,False,False
HPGD,False,False,False,False,False,False,False,True,False,False
HRAS,False,False,False,False,False,False,False,True,False,False
HSF1,False,False,False,False,False,False,False,True,True,False
HSP90AB1,False,False,False,False,False,False,False,True,False,False
HTRA2,False,False,False,False,False,False,False,True,False,False
HUS1,False,False,False,True,False,False,True,False,False,False
HUS1B,False,False,False,True,False,False,True,False,False,False
ID2,False,True,False,False,False,False,False,False,False,True
IFNW1,False,False,False,False,False,False,False,True,False,False
IGF1,False,False,False,False,False,False,False,True,False,False
IGF2,False,False,False,False,False,False,False,True,False,False
IL10,False,False,False,False,False,False,False,True,True,False
IL1A,False,False,False,False,False,False,False,True,False,False
IL1B,False,False,False,False,False,False,False,True,False,False
INCA1,False,False,False,False,False,False,False,True,False,False
INCENP,False,False,False,False,False,True,True,True,False,False
ING3,False,False,False,False,False,False,False,True,False,False
ING4,False,False,False,True,False,False,False,True,False,True
ING5,False,False,False,False,False,False,False,True,False,False
INHA,False,False,False,False,False,False,False,True,False,False
INHBA,False,True,False,False,False,False,False,False,False,True
INIP,False,False,False,True,False,True,True,False,False,False
INO80,False,True,True,False,False,False,False,True,False,True
INO80B,False,False,False,False,False,False,False,True,False,False
INO80C,False,False,False,False,False,False,False,True,False,False
INO80D,False,False,False,False,False,False,False,True,False,False
INO80E,False,False,False,False,False,False,False,True,False,False
INS,False,False,False,False,False,False,False,True,False,False
INSM1,False,False,False,False,False,False,False,True,False,False
INSM2,False,False,False,False,False,False,False,True,False,False
INSR,False,False,False,False,False,False,False,True,False,False
INTS13,False,False,False,False,False,False,False,True,True,False
INTS3,False,False,False,True,False,True,True,False,False,False
IPO5,False,False,False,False,False,False,False,True,False,False
IPO7,False,False,False,False,False,False,False,True,False,False
IQGAP1,False,False,False,False,False,False,False,True,True,False
IRF1,False,False,False,False,False,False,False,True,False,False
JADE1,False,True,False,False,False,False,False,True,False,True
JADE2,False,False,False,False,False,False,False,True,False,False
JADE3,False,False,False,False,False,False,False,True,False,False
JUN,False,False,False,False,False,False,False,True,False,False
JUND,False,False,False,False,False,False,False,True,False,False
KANK2,False,True,False,False,False,False,False,False,False,True
KAT14,False,False,False,False,False,False,False,True,False,False
KAT2A,False,False,False,False,False,False,False,True,False,False
KAT2B,False,False,False,False,False,False,False,True,False,False
KAT5,False,False,False,False,False,False,False,True,False,False
KAT7,False,False,False,False,False,False,False,True,False,False
KCNH5,False,False,False,True,False,False,False,False,False,True
KDM8,False,False,False,True,False,False,False,False,False,True
KHDRBS1,False,True,False,True,False,False,False,True,False,True
KIF11,False,False,False,False,False,False,False,True,False,False
KIF13A,False,False,False,False,False,False,False,True,False,False
KIF14,False,True,False,True,False,False,False,True,False,True
KIF20A,False,False,False,False,False,False,False,True,False,False
KIF20B,False,False,False,False,False,False,False,True,True,False
KIF23,False,False,False,False,False,False,False,True,False,False
KIF25,False,False,False,False,False,False,False,True,False,False
KIF2B,False,False,False,False,False,False,False,True,False,False
KIF2C,False,False,False,False,False,False,False,True,False,False
KLF11,False,True,False,False,False,False,False,False,False,True
KLF4,False,True,False,False,False,False,False,False,False,True
KLHL13,False,False,False,False,False,False,False,True,False,False
KLHL18,False,False,False,False,False,False,False,False,True,True
KLHL21,False,False,False,False,False,False,False,True,False,False
KLHL9,False,False,False,False,False,False,False,True,False,False
KMT2E,False,True,False,False,False,False,False,False,False,True
KNL1,False,False,False,False,False,True,True,True,False,False
KNSTRN,False,False,False,False,False,False,False,True,False,False
KNTC1,False,False,False,False,False,False,False,True,False,True
L3MBTL1,False,False,False,False,False,False,False,True,True,False
LATS1,False,True,False,True,False,False,False,True,False,True
LATS2,False,True,False,False,False,False,False,True,False,True
LCMT1,False,False,False,True,False,True,True,False,False,True
LEF1,False,False,False,False,False,False,False,True,False,False
LEP,False,False,False,False,False,False,False,True,False,False
LGMN,False,False,False,False,False,False,False,True,True,False
LILRB1,False,False,False,False,False,False,False,True,False,False
LIN9,False,False,False,False,False,False,False,True,False,False
LOC100533997,False,False,False,False,False,False,False,True,False,False
LOC102724428,False,False,False,False,False,False,False,True,True,False
LONP1,False,False,False,False,False,False,False,True,True,False
LRP5,False,False,False,False,False,False,False,True,False,False
LRP6,False,False,False,False,False,False,False,True,False,False
LSM10,False,True,False,False,False,False,False,False,False,True
LSM11,False,True,False,False,False,False,False,False,False,True
MACROH2A1,False,False,False,True,False,False,False,False,False,True
MAD1L1,False,False,False,False,False,True,True,True,False,False
MAD2L1,False,False,False,False,False,True,True,True,True,False
MAD2L1BP,False,False,False,False,False,False,False,False,False,True
MADD,False,False,False,False,False,False,False,True,False,False
MAEA,False,False,False,False,False,False,False,True,True,False
MAGEA4,False,False,False,False,False,False,False,True,False,False
MAGI1,False,False,False,False,False,False,False,True,False,False
MAP10,False,False,False,False,False,False,False,True,False,False
MAP2K6,False,False,False,False,False,False,False,True,False,False
MAP3K11,False,True,False,False,False,False,False,False,False,False
MAP3K20,False,False,False,False,True,False,False,True,False,True
MAP9,False,False,False,False,False,False,False,True,False,False
MAPK12,False,False,False,False,False,False,False,True,False,False
MAPRE3,False,False,False,False,False,False,False,True,False,False
MARK4,False,False,False,False,False,False,False,True,False,False
MASTL,False,False,False,True,False,False,False,True,True,True
MBIP,False,False,False,False,False,False,False,True,False,False
MBLAC1,False,True,False,False,False,False,False,False,False,True
MBTD1,False,False,False,False,False,False,False,True,False,False
MCIDAS,False,False,False,False,False,False,False,True,True,False
MCRS1,False,False,False,False,False,False,False,True,False,False
MDM2,False,False,False,False,False,False,False,True,True,False
MEAF6,False,False,False,False,False,False,False,True,False,False
MECOM,False,False,False,False,False,False,False,True,False,False
MEIS2,False,False,False,False,False,False,False,True,True,False
MELK,False,False,False,True,False,False,False,False,False,True
MEN1,False,False,False,False,False,False,False,True,False,False
METTL3,False,False,False,False,False,False,False,True,False,False
MKI67,False,False,False,False,False,False,False,True,True,False
MLF1,False,True,False,False,False,False,False,False,False,True
MN1,False,True,False,False,False,False,False,False,False,True
MNAT1,False,True,False,False,False,False,False,False,False,True
MORF4L1,False,False,False,False,False,False,False,True,False,False
MORF4L2,False,False,False,False,False,False,False,True,False,False
MRE11,False,False,False,True,False,True,True,False,False,False
MRFAP1L2,False,False,False,False,False,False,False,True,False,False
MRGBP,False,False,False,False,False,False,False,True,False,False
MRGPRX2,False,False,False,False,False,False,False,True,False,False
MRNIP,False,False,False,True,False,False,True,False,False,False
MSX1,False,False,False,False,False,False,False,True,False,False
MTBP,False,True,False,False,False,False,False,False,False,False
MUC1,False,True,False,False,False,False,True,False,False,False
MX2,False,False,False,False,False,False,False,True,False,False
MYBBP1A,False,False,False,False,False,False,False,True,False,False
MYC,False,True,False,False,False,False,False,True,False,True
MYO16,False,True,False,False,False,False,False,False,False,True
MYO19,False,False,False,False,False,False,False,True,False,False
MYOCD,False,False,False,False,False,False,False,True,False,False
MYOG,False,False,False,False,False,False,False,True,False,False
NABP1,False,False,False,True,False,True,True,False,False,False
NABP2,False,False,False,True,False,True,True,False,False,False
NAE1,False,False,False,True,False,False,True,False,False,False
NANOGP8,False,True,False,False,False,False,False,False,False,True
NANOS2,False,False,False,False,False,False,False,True,False,False
NANOS3,False,False,False,False,False,False,False,True,False,False
NCAPD2,False,False,False,False,False,False,False,True,False,False
NCAPD3,False,False,False,False,False,False,False,True,False,False
NCAPG,False,False,False,False,False,False,False,True,False,False
NCAPG2,False,False,False,False,False,False,False,True,False,False
NCAPH,False,False,False,False,False,False,False,True,False,False
NCAPH2,False,False,False,False,False,False,False,True,False,False
NDC80,False,False,False,False,False,True,True,True,False,False
NEK10,False,False,False,True,False,False,False,False,False,True
NEK11,False,False,False,False,False,False,False,False,True,True
NEK2,False,False,False,False,False,False,False,True,True,False
NEK6,False,False,False,False,True,False,False,True,True,True
NEK7,False,False,False,False,False,False,False,True,True,False
NEK9,False,False,False,False,False,False,False,True,True,False
NES,False,False,False,True,False,False,False,False,False,True
NF2,False,False,False,False,False,False,False,True,False,False
NFRKB,False,False,False,False,False,False,False,True,False,False
NHERF1,False,False,False,False,False,False,False,True,True,False
NKX3-1,False,False,False,False,False,False,False,True,True,False
NLRP2B,False,False,False,False,False,False,False,True,False,False
NME6,False,False,False,False,False,False,False,True,True,False
NOP53,False,False,False,True,False,False,True,True,False,False
NPAT,False,True,False,False,False,False,False,False,False,False
NPM1,False,False,False,True,False,False,False,False,False,True
NPM2,False,False,False,False,False,False,False,True,False,True
NPPC,False,False,False,False,False,False,False,True,False,False
NR2F2,False,False,False,False,False,False,False,True,False,False
NR4A1,False,False,False,False,False,False,False,True,False,False
NSFL1C,False,False,False,False,False,False,False,True,False,False
NSMCE2,False,False,False,False,True,False,False,False,False,True
NUDT16,False,False,False,False,False,False,False,True,False,False
NUDT6,False,False,False,False,False,False,False,True,False,False
NUGGC,False,False,True,False,False,False,False,True,False,False
NUMA1,False,False,False,False,False,False,False,True,False,False
NUP62,False,False,False,False,False,False,False,True,False,False
NUPR1,False,False,False,False,False,False,False,True,False,False
NUPR2,False,False,False,False,False,False,False,True,False,False
NUSAP1,False,False,False,False,False,False,False,True,False,False
OBSL1,False,False,False,False,False,False,False,True,True,False
OOEP,False,False,False,False,False,False,False,True,False,False
OPN1LW,False,False,False,False,False,False,False,True,False,False
OPN1MW3,False,False,False,False,False,False,False,True,False,False
OR1A2,False,False,False,False,False,False,False,True,False,False
OR2A4,False,False,False,False,False,False,False,True,False,False
OVOL2,False,False,False,False,False,False,False,True,False,False
PABIR1,False,False,False,True,False,True,True,False,False,False
PAF1,False,True,False,False,False,False,False,False,False,True
PAGR1,False,True,False,False,False,False,False,False,False,True
